korean,english
연극이나 뮤지컬보다 더 좋아해요.,I like it more than a play and musical.
정말이요? 그럼 어쩔 수 없죠. 2병만 살게요.,Really? I guess I will have to buy only 2 bottles.
영양 섭취는 건강을 유지하는 데 중요해요.,Nutrition is important for maintaining health.
빨리 다녀올게. 화장실은 바로 앞에 있으니까.,I'll be back quick. The bathroom's right outside.
우리는 친구집에 가서 같이 식사를 했어요.,We went to friend’s house and had a dinner together.
행복과 행운이 가득한 한해 되세요.,Hope you have a happy and fortunate year.
"응, 유명한 드라마 작가의 신작이라서 사람들이 많이 기대하고 있는듯해. ","Yes, because it's the new drama of a famous author."
그렇군요. 직원 복지를 위한 좋은 정책이네요.,I see. It is a good policy for employee welfare.
혹시 더 궁금하신 점 있으시면 연락해주세요.,If you have further questions please let me know.
난 겨울 방학 때 고등학교 공부를 미리 예습할 것이에요.,I will study high school text book ahead in winter.
나 지금 마치고 집에 들어 왔어.,I've just come home after i finished.
"나는 치과 의사, 의사 등을 알고 있어.","I know a doctor, a dentist, and so on."
평소에 꾸준하게 하는 편은 아니예요.,I'm not doing it in a regular basis.
아마존에게 소명자료를 제출해요.,I am submitting explanatory materials to Amazon.
그들은 다음주 화요일에 우리에게 샘플을 보내줄수 있다고 하였어요.,They told us that they could send us a sample next Tuesday.
무엇이 당신에게 스트레스 받게 하나요?,What things cause you to feel stressed?
너의 남자 친구로 크리스마스를 보내고 싶어.,I want to spend this Christmas as your boyfriend.
그리고 제 특기는 남의 이야기를 잘 들어주는 것이예요.,My specialty is listening to other people’s stories well.
두 교육 과정에 대한 매뉴얼이 필요해.,We need manual about two courses of study.
그래서 다음주에 레슨을 하고 싶어요.,I would like to do the lesson next week.
그리고 너 통장 한번만 더 확인해 줘.,And please check your passbook one more time.
그러면 다음 주부터 출시하기로 하고 홍보팀한테 출시 날 정해졌다고 전달해 주시겠어요?,"Then, let’s release it next week. Can you please call the PR team and tell them that the release date has been set?"
하지만 10시 넘어서는 건물 안에서 밖으로 못 나오니까 주의해. ,But keep in mind that you can't get out of the buildings once it turns 10.
그 제품에 여러 문제점이 있기 때문이에요.,Because the product has various problems.
내가 이렇게 아픈데 그댄 어떨까요?,I am so hurt like this then how you would be?
그 정도면 굳이 당기지 않아도 될 일정이라고 생각해요.,I don't think the advance of schedule is quite necessary.
저는 몰래 사람들 등뒤에서 얘기하는 거 싫어요.,I don't like talking behind people's backs.
내 삶에서 잊을 수 없는 여행이었어요.,It was an unforgettable travel in my life.
제가 슬퍼 있을때 기분을 풀기 위하여 저는 취미 생활을 할 것 이예요.,"When I'm sad and refresh myself, I will enjoy my hobbies."
너와 떨어 져 지내는 동안 난 늘 널 그리워 해요.,I always miss you while we are living away.
나도 지난주에 얼굴을 조금 다쳤어.,I also hurt my face a little last week.
메인 페이지에도 표기를 할 수 있어요.,We can put it on the main page too.
2인실 스탠다드룸 예약한 거 맞으시죠? 여기 카드 키와 이용설명서입니다.,"You reserved a standard room for 2, correct? Here are the card key and an instruction manual."
기분 풀고 좋은 밤 되기를 바래.,Lighten up and have a great night.
제가 여기 단골이라는 것을 당신이 알아 주셔야 겠는데요.,You need to know that I'm a regular customer here.
사고 난 위치를 알려주시면 경찰과 함께 저희 직원 보내드리겠습니다.,We will send the police and one of our people if you let us know your location. 
트러블까지는 아니었는데 몸이 가려웠던 적은 있어요.,"It wasn't too much trouble, but I've had itchy skin before."
그러면 중절수술을 시키는 거예요.,"In that case, she get an abortion."
제인의 남자 친구와 인사를 했나요?,Have you met Jane's boy friend yet?
축구 종주국만큼 승부차기에 약하다면 그건 큰일인데.,"If you're as bad as the home of football, that's a big deal."
그리고 당신을 알아 가는 것도 나에겐 즐거움이예요.,"Also, it's a pleasure getting to know you."
대개 이런 클럽은 자정에 문을 열고 새벽까지 영업을 해요.,Normally these clubs open at midnight till late night.
바다엔 사람이 너무 많을 것 같아.,I think there's going to be a lot of people at the beach.
노엘블랑의 덮밥과 모든 요리는 쉐프킴이 직접 해요.,Chef Kim cooks donburi and all menus of Noel Blanc.
그것은 세수하고 처음 사용하는 것이에요.,It's my first time using it after washing my face.
따라서 마감이 지연되고 있는 상황이예요.,"Therefore, finalizing is getting delayed."
회사에서 점심을 먹어도 괜찮아?,Is it okay for you to have lunch at the office?
한국인은 대부분 영어를 잘하지만 회화를 못해요.,"Most Koreans are good at English, but they cannot speak well."
그의 흥미있는 취미는 그림그리기이고 꿈은 디자이너이에요.,His hobby is painting and his dream is to be a designer.
가식떨지말고 떠날사람은 떠나세요.,Don't be hypocritical and leave if you wish to.
이번 입찰에 참여한 업체는 몇 군데인가요?,How many companies participated in the bidding this time?
글쎄요. 도서 퀴즈 대회라도 개최하는 게 어떨까요?,I'm not sure. How about holding a book quiz competition?
지금 남아있는 것은 옆에 전시된 화장품이 끝입니다. 하지만 세일을 하고 있어요.,The last ones we have are the cosmetics displayed on your side. But it is on sale.
당신은 필리핀으로 돌아 가야지요.,You have to go back to the Philippines.
체크아웃 시간은 오전 11시입니다.,Check-out time is 11 am.
제 삶에 가장 큰 영향을 미친 것은 음악이예요.,It is a music that being the greatest influence on my life.
신도시의 아파트 단지 마감은 언제야 되는 건가요? ,When is the deadline for the apartment complex in the new city? 
이 동네에서는 다들 그를 잘 알죠.,He is very well known in this town.
그럼 대체 버스를 보내주셔야 하는 것 아닌가요?,Then what kind of public transportation do you have instead of the subway?
"네, 하지만 붕대를 감지 않은 채 운동하면 더 다칠 수 있으니 주의하세요. ","Okay, but working out without the bandages could get your more hurt, so be careful."
"네, 다음 주 화요일 오후 3시로 정해졌습니다.","Yes, it will be on 3 pm on Tuesday of next week."
당황한 쿤이는 아래로 아래로 계단을 따라 도망쳤어요.,Kuhn was scared and he escaped down the stairs.
기장이 우리 비행기가 예정보다 한 시간 늦어졌다고 말을 하는군요.,The captain says our plane is one hour behind schedule.
오전 6시부터 오후 6시까지 가능합니다.,From 6am to 6pm.
그리고 오후에는 버스를 타고 4 3 평화 공원에 갔어.,And I took a bus and went to Pyeonghwa park in the afternoon.
잠실에서 6월 14일 저녁 5시부터 파티를 하려고 합니다. ,I am planning to have a party on June 14th starting from 5 P.M. at Jamsil.
그래서 처음에 생각한 것이 바로 아르바이트이예요.,So my first thought was a part time job.
백화점에서 물건을 구매하셨으면 무료로 이용할 수 있습니다.,You can utilize it for free if you have bought something from the department store. 
나는 동네 서점에는 필요한 책이 없다길래 #강남#에 있는 #교보문고#에 가는 길이야.,I am going to #Kyobo Bookstore# at #Gangnam# because there isn't the book I need at my local bookstore.
오늘 주문 하면 언제 도착하나요?,When will it arrive if I make an order today?
나는 그 편지가 외국으로만 가는 줄 알았어요.,I thought that letter is going only to abroad.
저는 유급 휴가로 14일을 쓸 수 있어요.,I can take fourteen days of paid vacation.
왜? 너도 오늘 있는 회의 같이 가는 거 아냐?,Why? Aren't you also going to the meeting?
#프리즌 브레이크# 새 시즌 나오는 거 알고 있어? ,Do you know the new season of the #Prison Break# is coming out?
"네, 알겠습니다. 내일 차를 가져가서 그녀를 모시고 갔다가 이후에 사무실로 돌아오면 되겠네요.","Yes, sir, I'll take the car and escort her to the building and then come back to the office."
"아니요, 홍보팀 직원들은 발급 완료되었지만, 디자인팀 직원들은 아직 완료되지 않았습니다.","No, the promotion team members got their visa issued but the design team members didn't get it issued yet."
넌 어제 술을 마시지 말았어야 했어요.,You shouldn't have been drinking yesterday.
오랫만에 너에게 소식을 전해요.,I send you my news in a long time.
저는 아이들을 돌보는 것을 매우 좋아하고 흥미로워해요.,I am interested in children and I like to take care of them.
나는 기차 창문으로 보이는 풍경을 좋아해요.,I like looking at the scenery through the train window.
알겠습니다. 그럼 어쩔 수 없이 주말에 일해야겠네요.,Okay. Then I have no choice but to work over the weekends.
새로운 부원들이 10시까지 오니깐 9시가 좋을 것 같아요.,The new members are supposed to come at 10 so 9 should be good. 
그가 내가 좋아하는 텍사스와 계약을 했어요.,He contracted with Texas where I like.
한국어가 배우기 어렵다고 들었어.,I heard that it's hard to learn Korean.
다음 제품의 주문 개수를 5천개로 하려고 합니다.,I'd like to set the volume of orders as 5 thousand for the next product.
그래도 지금은 단가가 쌀 때라 좀 모아 놓는 게 좋지 않을까요? ,"But the unit price is low, so don't you think it'd be better to stock up? "
일주일 동안 캠핑 가는 데 이 정도 음식이면 충분할까요?,Will this much food do for a week's camping?
검은색만 써야 하는 것 같은데 어쩌지?,I think we have to use black only. What should I do?
8월 4일은 회사 휴무일이라 안 되고 8월 5일은 괜찮으신가요?,August 4th is not okay since it’s our company holiday. Is it August 5th okay?
내가 가장 힘들었던 점은 묻는 것이예요.,What I felt the most difficult is to ask.
환승하려고 하는데 여기서 짐을 보내면 되나요?,"I am trying to transfer, Can I send my package here?"
당신만큼 사람들과 운명에게 사랑받는 사람은 드물어.,No one can be loved by people and his own fate as you are.
대략 하루에 5시간정도 사용하는것 같아요.,I think I use it about five hours a day.
너 오늘 약속 어떻게 갈 거야? 버스 탈 거야 아니면 지하철 탈 거야?,How are you going to get to the meeting today? Are you taking a bus or the subway?
이번에 새로 나온 드라마 봤어? 장르가 블랙코미디래.,Did you see the brand new drama? It's a black comedy drama.
갑자기 중단하시는 이유가 무엇인지 여쭤봐도 될까요?,May I ask why you suddenly have to stop?
제가 생각했던 것보다 동작이 굉장히 어렵네요.,The movement is a lot harder than I thought.
나는 은지 한 명만 여정을 변경하고 싶어.,I want to change only Eunji's itinerary.
내일은 꼭 전기가 연결이 되어야 해요.,Electricity supply must be back by tomorrow.
"예상치 못한 문제점들이 항상 떠오르죠, 안 그렇습니까?","Unexpected problems always come up, don't they?"
아직 선적서류의 원본이 도착하지 않았어요.,The original shipment document has not arrived yet.
다음주 월요일이 가장 빠른 날짜인 것 같습니다.,Next Monday seems to be the earliest date.
당신에게 나의 영어 일기를 보내도 될까요?,Can I send you my English diary book?
커피를 마시고 싶은데 주변에 카페가 있나요?,"I'd love to have a cup of coffee, and is there any café nearby?"
이 아름다운 경치를 보니 안정이 되네요.,This beautiful scenery calms my nerves.
왜 예수님은 어떤 사람의 행선지를 언급한 것일까?,Why did Jesus mention one's destination?
생각보다 쉽지 않네요.,It is not as easy as it looks.
당신은 왜 이곳에서 양계장을 하지 않습니까?,Why don't you run a chicken farm here?
왼쪽의 배는 푸석푸석하게 메마른 상태이예요.,The pear on the left became completely dry.
하지만 아직 체지방이 많아서 따라 하기 힘들어요.,But it's hard to follow since I still have a lot of body fat.
멕시코에 처음 와 보셨나요?,Is this your first time in Mexico?
모든 업데이트는 먼저 완료된 순서대로 업데이트 돼요.,Each updates will be uploaded as soon as they are completed.
통학하는 게 너무 힘들어. 9시 수업이면 아침 6시 30분에 일어나야 해. ,It's too hard to commute. I have to get up at 6:30 in the morning for my 9am classes.
목사님 말씀을 들어보고 싶기도 하고요.,I also want to hear what the priest says.
터키어로 가지가 무엇인지 알고 싶어요?,Do you want to know what an eggplant is in Turkish?
필리핀의 맛있는 요리들을 나에게 추천해 달라.,Please recommend me the delicious food of the Philippines.
아니요. 대학을 스페인에서 나왔습니다. 그래서 할 줄 알아요.,No. I graduated from a university in Spain. I learned it then.
당신은 핸드폰 시간을 연장할 것인가?,Are you going to charge your cell phone?
거기에는 객실 사진을 포함한 세부정보들이 적혀있어요.,It contains detailed information including photos of rooms.
제가 다시 확인하고 연락드려도 될까요?,Can I call you back after I double-check?
하지만 인간의 행위에서는 거꾸로 미래가 현재를 규정해요.,"However, the future defines the present in human behavior."
밥을 먹기 위하여 학교 식당에 갔어.,I went to school cafeteria to have a meal.
놀리지 말고 어떻게 해야 하는지 전화나 한번 해줘.,Please don't mock me and just call them to ask what to do.
그 회사가 우리를 대신해서 보증을 했어요.,The company guarantees instead of us.
우리 여행사 어디로 정할래? A랑 B 중에서 골라.,Which travel agency do you want? Pick one between A and B.
공정 부적합 발생시 수리가능여부를 판단해요.,Decide if it could be fixed when process error occurs.
절망적이죠. 거기에다 툭하면 다 팔리기까지 하니.,It's hopeless. Everything is sold out most of the time too.
그들이 계획이 있을 때까지 기다려주세요.,Please wait until they have some plans.
저희가 준비할테니 걱정하지 마세요.,We will arrange it so don't worry.
좌석 앞 스크린을 이용하면 간략한 비행 상황을 알 수 있습니다.,You can check the simplified flight information on the screen in front of you.
태양에서 가장 먼 행성은 명왕성이예요.,Pluto is the most far planet from the sun.
책상과 의자를 어디서 찾아야 되는지 알수있을까요?,Do you know where I can find a desk and chair?
학생회에서 운영하는 카페가 두 개나 있잖아.,But there are already two coffee shops run by the student council.
택시 정류장에 가서 택시를 타고 나한테 기사님을 바꿔줄래?,Would you put the driver on the phone after you take a taxi at the taxi stop?
헉. 지금 통화는 가능한 거야? 어떡해. 많이 아프겠다.,"What? Can you even talk on the phone right now? Wow, that must hurt so much."
이 우산은 주로 어린이 들이 사용해요.,This umbrella is usually used by children.
너 오늘 시간 괜찮으면 나랑 같이 먹으러 갈래? 내가 예약을 했거든.,"If you have time today, how about we go together? I made a reservation."
"네, 그래서 예산안을 다시 작성해야 할 것 같습니다.","Yes, so I think we should rewrite the budget proposal."
그녀는 업무에 대한 높은 집중도와 강한 책임감을 가지고 있어.,She shows great commitment and responsibility to her work.
무상으로 부품을 보내기 위해서는 레포트가 필요해요.,I need a report to send the parts for free.
당신의 답장이 오면 나는 하루가 행복해요.,I feel happy all day long if I get your reply.
연주회를 마친 후에 가족 사진을 찍었어요.,I took a family picture after concert is finished.
호텔 안에서 빨래를 할 수 있나요? 옷이 더러워져서요.,Can I wash my clothes in the hotel? My clothes got dirty.
다양한 방식의 테스트가 준비되어 있어요.,Lots of different tests are waiting.
알러지를 일으키는 원인을 몰라.,I don't know what causes the allergy.
당신은 표현력이 뛰어나다고 생각해요.,I think you have superior powers of expression.
생산 설비가 왜 중단되었는지 확실한 이유를 알아낼 예정입니다.,I'm going to find out why the production line has been halted.
그러나 직장인이기 때문에 정장을 입어야 해요.,But because he is a office worker he has to wear a suit.
그는 일본 콘서트에 초청되어 오사카를 투어해요.,He was invited to a concert in Japan so he's touring in Osaka.
학교나 학원을 다니면서 지각하지 않고 다니는 것도 포함돼.,Not being late for schools or private academies count.
올해 여름 졸업식 날씨가 매우 좋을 것 같습니다.,I think the weather for the summer graduation ceremony will be amazing.
확실히 모르겠는데 아마 오후 9시쯤 끝날 것 같습니다.,I am not sure but around 9 P.M.
물리 시험에서 가장 낮은 점수가 아마 70점대로 기억하고 있어.,I remember it being in the 70s for the lowest score for the physics test. 
미안하지만 맡길 곳이 없어서 무조건 데려가야 해.,"I'm sorry but I don't have anyone to look after my pet, so we have no choice but to take him/her with us."
어느정도의 시간여유를 가지고 싶어요.,We would like to have some time for a while.
하긴 처음부터 스키 탔던 사람들은 거의 그러더라.,"Well, that's what most people say if they started with skiing."
이것이 가능한지 답변을 듣고 싶어요.,I want to hear whether it is possible or not from you.
두 사람이 왜 제주도에 전화해요?,Why are those two calling to Jeju island?
우리는 빨리 떠날수록 더 빨리 도착할 것이에요.,"The sooner we leave, the sooner we can get there."
물어봐야겠다. 지원은 언제까지 하면 돼?,I will ask her. When is the application due?
일반적으로 30분 이상은 안 좋은 것 같아요.,"Not more than half an hour, as a rule, I should say."
홍콩에서 할 마케팅 전략 발표를 제가 맡아도 되겠습니까?,May I take charge of the marketing strategy presentation in Hong Kong?
당연하지. 학교 측에 신고하면 해결해 줘. ,"I know, you can report to the school and they'll do something."
이래서 여행자 심카드가 불편하다니까. 진짜 싫다.,Why not? Didn't you say we can get there fast by bus?
제품에 사용 흔적이 있고 제품 전체에 먼지가 좀 있어요.,"The product has signs of being used, and dusty."
그렇다면 넉넉하게 4시간은 잡고 오셔야 할 것 같아요. ,Then you'll have to think it'll take 4 hours at the longest.
그래프 페이지의 배치 형태를 선택해요.,Select the form of arrangement of the graph page.
당신의 가족은 끼니를 어떻게 해결하나요?,How does your family manage their meals?
영어로 대화하면서 영어 공부 할까?,Why don't you study while talking as English?
아침에 가셔야 사람도 적고 볼거리도 많거든요.,You have to go in the morning because there are more things to see and the crowd is small.
"팀장님, 우리 회사 출장 경비 규정은 다른 회사들이랑은 조금 다른 것 같아요.",I think our company's travel expense policies are a little different than other companies.
앞으로 어떠한 방향성을 갖고 있는지 궁금해요.,I'm curious about what kind of direction it has.
공항버스가 멈추는 정류장에서 공항버스를 타시면 됩니다.,You can get on the airport buses at stops where the airport buses stop at. 
나의 부모님은 미국에 계셨지만 나는 한국에 있었어.,My parents were in the U.S. but I was in Korea.
넌 우는 아이를 안고 이렇게 말할 수 있어?,Can you say in this way while holding a crying baby?
내일 태릉입구에서 모이려고 해요.,We are planning to converge in front of 'Taereung Entrance'.
그러면 주변에 혹시 괜찮은 카페 아는 데 있으세요?,Then do you know any good cafes around here?
일요일에 교회에 같이 가길 원해요.,I want to go to the church with you this sunday.
일단 오늘도 스쿨버스를 타고 학교에 갔어.,"For now, I went to school by shuttle bus today, too."
"유감스럽게도, 저에게는 불편한데요.","Unfortunately, it's not convenient for me today."
이 길로 가면 아마 10분 이내에 도착할 수 있을 거예요.,"If we go this way, we'll probably get there in ten minutes."
공부에 질문이 있으면 메세지를 남겨주세요!,Leave me a message if you have questions while you study!
"그러면 제가 전화해서 시킬게요, 와인 한 병 어떠세요?","Then I'll call and order, how about a bottle of wine?"
나는 조직에 공백이 생겼을 때 그 역할을 잘 대체할 수 있어.,I can replace the missing part in the oganization very well.
저는 가전 제품 파는 곳을 찾고 있어요.,I'm looking for an electrical appliance store.
작년에는 있었는데 지금은 없어. 너는?,"I used to have one last year, but not now. You?"
"그러면 제가 전화해서 시킬게요, 와인 한 병 어떠세요?","Then I'll call and order, how about a bottle of wine?"
그리고 당신은 다시 영국으로 가요?,And then will you go back to England?
내가 필리핀에 간다면 전화 할 것이에요.,I will call you if I go to the Philippines.
분실물 보관소는 제 사무실 안쪽에 있습니다.,The lost and found is inside my office. 
당신이 가까운 곳에 있으면 맛있는 거 많이 사 줄텐데.,If you are close then I will buy you a lot of delicious food.
죄송합니다. 5명이 전부 택시에 탑승할 수는 없습니다. 1대를 더 부르셔야 할 것 같아요.,"I'm sorry, 5 people are not allowed. I think you'll have to call one more taxi."
결국 이 남자가 궁금한 것은 한 가지야.,"After all, what this man is wondering is just one thing."
안그래도 참고 자료들 오늘 오전에 모두에게 이메일로 보내드렸습니다.,I actually sent an e-mail to everyone about it this morning.
나중엔 큰 의미를 가질 것이에요.,It will have a great significance later on.
당신의 믿음이 깨지지 않는 좋은 친구가 되겠어요.,I will be your good friend who will not let you down.
우주에서 직접 지구를 보고 싶기 때문이예요.,Because I would like to see the space directly.
보내준 헬멧은 마무리가 너무 허접해요.,The perfection of the helmet you sent is so clumsy.
그와 무슨 일이 있었는지 들을 수 있습니까?,Could you tell me what happened between you and him?
스트링 콰르텟을 상상하면 쉬울 거에요.,It would be easy if you imagine a string quartet.
오늘은 귀여운 강아지 쿠키커터를 만들어 볼게요.,"Today, I will make a cute puppy cookie cutter."
그럼 제가 일을 끝내고 어디로 가면 되는 겁니까?,Then where should I go after finishing the work?
계정은 웹사이트에서 신청하는 것으로 알고 있었어요.,I thought the account can be registered on the website.
언제까지 제출해야 하나요?,When is it due?
가게 전단지 만드는 것은 어떻게 되었나요?,How is it going with the shop leaflet production?
싼 가방을 파는 가게를 알고 있습니까?,Do you know a store that sells cheap bags?
귀사의 시스템이 훌륭하다는걸 알고 있어.,I know the system of your company is great.
"아니요, 각 도서관에서 빌린 책은 각 도서관에서만 반납이 가능합니다.","No, books borrowed from specific libraries can only be returned at those libraries as well. "
고객에게 승인 받은 후 알려 드리겠어요.,I will let you know once I get confirmation from my client.
오직 너로부터 어떤 정보도 받지 못했어요.,I didn't get any information only from you.
그런데 한가지 문제가 있어서 글 남기게 되었어요.,But I'm writing because because there is one problem.
감사합니다. 태어나게 해주셔서 감사해요.,Thank you. Thank you for giving me the gift of life.
왼쪽으로 가면 공원이 나온다고 들었는데 정말이죠? ,"I heard that if you go to the left, there will be a park. Is that true? "
물론 나도 그렇게 생각하고 있어.,"Of course, I also think like that."
"교수님, 저번 주에 봤던 중간고사 성적은 언제 나오나요?","Professor, when will you hand out the midterm results we took last week?"
"네, 이 매트 위에 한 번 누워보시겠어요? 10초 동안 배에 힘을 줄 거에요. ","Okay, would you lie down on this mat? You will flex your stomach for 10 seconds."
저는 마스카라를 눈썹과 속눈썹에 칠해요.,I put the mascara on the eyebrows and eyelashes.
우리 형이 좋아하는 팀은 하부리그에 있는 팀이야.,My brother's favorite team is in the lower league.
그래서 내가 몇가지 조언을 해줄까해.,"So, I am thinking about advising to a several."
그럼 내일까지 제 계좌로 입금해주시겠습니까?,Then can you make a deposit to my account by tomorrow?
자사 브랜드 이미지를 높이기 위한 창의적인 광고가 필요해요.,We need a creative advertisement to raise our brand image. 
첫 인상은 매우 중요한 것 같아요.,First impressions seem to count for a lot.
그 노인은 일찍 일어나는 데 익숙해.,The old man is accustomed to getting up early.
어쩐지 좋은 냄새가 난다고 했는데. 맛있겠다.,I thought it smelled good. It must be delicious.
그래서 더 이상 당신하고 밖에 나가서 술을 마실 수가 없어요.,So I won't be able to go out drinking with you anymore.
내가 알고 있는 주자 창을 알려 드릴게요.,Let me introduce the parking lot that I know.
"응. 그런데 듣기로는 빨리 예약해야 한다고 해서, 혹시 너 그 식당 번호를 아니?","Right. I heard that it is often fully booked, so do you have the phone number there?"
나는 내가 꿈을 펼쳐보지 못한 것에 대해서 정말 후회해.,I really regret that I couldn't chase the dream of mine.
내가 소개할 주제는 나의 봉사활동이에요.,What I am about to introduce is about my volunteer activity.
하네다 공항으로 가는 길을 알려 주시겠어요?,Would you tell me the way to Haneda Airport?
"장 회장님 고집이 너무 센 것 같아요, 협상의 의지가 전혀 없어 보이세요. ","I think CEO Chang is too stubborn, he doesn't seem willing to negotiate at all."
내가 흔들리지 않고 예순 님과 동행하는 방법은 무엇일까?,How can I accompany with Jesus without faltering?
다른 사람한테 전화하여 그에게 전달해 달라고 했어요.,I called someone else to leave a message for him.
내 생각에는 정책을 변경하는 것이 좋은 결정이라고 생각해요.,"In my opinion, changing the policy is a good decision."
그 강에서 춤을 추는 오리의 가족이 있어요.,There is duck family dancing on the river.
불경기가 심화되면서 경쟁은 더욱 심각해요.,"As the recession is worse, competition get more worse."
매장은 엘리베이터 있는 근처에 있어요.,The store is near the elevator.
꾸준히 중량을 조금씩 늘리면 안 될 것도 없어. ,You can do anything if you gradually increase the weights.
"환자복은 S, M, L가 있습니다. 어떤 거로 드릴까요?","There are S, M, and L sizes for hospital gowns. Which one would you like?"
그래서 이 영화 때문에 난 액션영화를 제일 좋아해요.,"Because of this movie, I like action movies the most."
혹시 배송에는 문제가 없는지 확인바래요.,Please check if there is no problem with delivery.
이 옷은 정말 예쁘지만 나와는 어울리지 않네요.,This is really beautiful but does not suit me.
동물과 공존할 수 있는 문화가 되길 바래.,I wish that people and amimals can harmonize.
그리고 메일에 첨부해주신 인보이스는 잘 확인하였어요.,And I have confirmed the invoice attached to the mail.
프로그램과 정보 들도 서로 공유가 가능할 것이에요.,The program and information could be shared each other.
지하철을 타고 나서 자리가 없다면 어디에 서야 할까요?,Where should I stand when there are no seats in the subway?
각 시트에는 디자인 되고 있는 내용으로 업데이트 했어요.,Each sheet is updated with the content being designed.
기본 코스로 가시나요 익스트림 코스로 가시나요?,Hello. Can I take a free shuttle bus at the hotel?
아침 7시보다 더 빨리 출발하는 #길리#행 배는 없나요?,Is there a ferry that leaves earlier than 7 a.m. to #Gili Island#?
"아니요, 그 정도면 충분할 것 같아요, 신경 써주셔서 감사합니다.","No, that will be enough, thank you for your care."
너희는 자기네가 전통의 강호라는 망상이 있는 것 같아.,I think you suffer from a delusion that you are a traditional powerhouse.
문화적으로 이해를 못하는 것이 일반적이에요.,We generally do not understand each other culturally.
믿을 수가 없어! 정말 실망이야.,I can't believe it! I did disappoint at him.
시장조사 보고서부터 함께 검토해 보시죠.,Let's go over the market research paper together first.
나에게 주어진 것 들을 잘 하고 싶어.,I want to be good at what is given.
공항에서 호텔까지 택시비가 얼마 정도 나올 것 같아?,How much do you think the taxi fare will be from the airport to the hotel?
부모님은 사탕을 먹지 못하게 해요.,My parents do not allow me to eat sweets.
아무래도 대화에 오해가 있었던 것 같아보입니다.,I think there was a misunderstanding in the conversation.
특히 내가 좋아하는 걸 할 때 행복해요.,I'm especially happy when I do what I like.
정책은 경제활성화을 가져올 것이예요.,The policy will revitalize the economy.
"네, 동아리 회원들끼리 오디션을 봐서 배우도 고르고 시나리오도 함께 씁니다.","Sure, we do auditions within club members and we write the scripts ourselves. "
영어를 잘하진 못하지만 열심히 할꺼야.,I'm not good at English but I'm going to try hard.
버스를 이용하시는 것이 편할 것 같네요.,Using the bus could be more convenient.
이 소포를 배편으로 일본에 보내려고 해요.,I'd like to send this package to Japan by sea mail.
그러면 다시 회의 일정을 잡아야겠네요. 가능한 날짜를 알려주세요.,We'll have to reschedule then. Please let me know the available date.
그렇다면 한 시간 반 정도 기다리셔야 해요.,"In that case, please wait about one and a half hour."
"네, 제시간에 그것을 할 수 있을지 없을지 나는 모르겠어.","Yes, but I don't know if I can get it done on time."
"글쎄, 날짜를 다시 확인해 보고 전화 드리죠.","Actually, I'd better confirm my dates and call you back."
이 식당 내가 자주 오는 곳인데 꽤 괜찮지?,"This is my regular restaurant. It's quite good, isn't it?"
나는 지난달에 5 회 분을 지불했어요.,I paid for five month's fee last month.
배드민턴 운동하기 좋죠. 배운지 얼마나 되었어요?,It's good to play badminton. How long have you learned?
"훨씬 괜찮아질 거에요. 눈이 건조하다 싶을 때 수시로 눈에 1, 2방울 점안 하시면 됩니다.","You will feel much better. If your eyes feel dry, take 1,2 drops into the eyes."
"네, 화장품을 샀을 때 그가 돈을 지불했어요.","Yes, He paid when I bought the cosmetics."
위탁 수하물을 분실하셨나요? 이 보고서를 작성해주세요. ,Have you lost your checked baggage? Please fill out this report.
당신이 받게될 연봉에 대하여 이야기해야 할것 같네요.,I think we need to talk about the salary you'll earn.
일 끝나고 편한 시간에 대화해요.,Let's talk whenever you can after work.
내가 당신한테 보낸 물건은 도착 했나요?,Has the product arrived I sent you?
포인트를 사용하여 룸을 두개 예약해주십시요.,Please make a reservation for two rooms using points.
필드에 나가도 될 만큼 잘 하시나봐요.,I guess you're good enough to play on a course.
당신네 제품을 수입할지 말지에 대해 고민을 하는것이 결코 아니예요.,We are not thinking over importing your products.
왜 이렇게 학원에 사람이 없어요?,How come there's not so many people in academy?
드라이어의 시작 단추 누르는 것 잊지 마세요.,Don't forget to push the start button on the dryer.
무엇을 사려고 그러니? 너 이미 화장품도 많이 있지 않아?,What are you planning to buy? Don't you already have many cosmetics?
"네, 5쪽에 있는 퍼센트는 어떻게 계산하신 겁니까?","Yes, how did you calculate the percentage on page 5?"
주말에도 쉬지 못하고 일해서 많이 피곤하시겠네요.,You will be very tired because you didn't rest this weekend.
조금만 수리해도 수천엔이 들 거에요.,Even just a little repair costs hundred thousands.
꽃 향기를 좋아하는 소녀가 있어.,There is a girl who likes flower scent.
수영을 할때는 물갈퀴를 이용해요.,"When swimming, they use webbed feet."
그래서 예전에 돈에 관한 이야기를 한 것이에요.,That is why we talked about money before.
100mL 정도의 공병은 약국에서 판매하고 있습니다.,They sell empty bottles of about 100mL.
매니저가 전략을 잘못 세운 것 아닌가요?,Didn't the manager make a strategic mistake?
그래? 내 계정은 잘 되는 것 같은데.,Really? My account seems to work fine.
"하긴, 너는 혼자 자면서 네 침대도 퀸사이즈니까.","Makes sense, since you sleep on a queen size bed even when you sleep alone."
제가 하고 중심이 되서 하는 일 때문에 정신이 없어요.,I've got too much time on my hands myself.
그걸 왜 먹었냐며 항의 전화를 했어요.,They called and protested why we ate it.
오늘 하루 종일 사무실에 있을 거예요.,I'll be in the office all day today.
